ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10811360,JA110574,01/10/2017 13:28,037XX W 16TH ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,TRUE,FALSE,1014,10,24,29,3,1151729,1891786,2017,02/10/2018 15:50,41.85893611,-87.71853482,"(41.858936106, -87.718534819)"
10811361,JA110651,01/10/2017 12:40,002XX W MONROE ST,870,THEFT,POCKET-PICKING,RESTAURANT,FALSE,FALSE,122,1,2,32,6,1174585,1899875,2017,02/10/2018 15:50,41.88065311,-87.63439665,"(41.880653112, -87.634396649)"
10811366,JA110656,01/07/2017 12:00,001XX W LAKE ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,122,1,42,32,6,1175301,1901735,2017,02/10/2018 15:50,41.88574103,-87.63171175,"(41.885741029, -87.631711749)"
10811367,JA110686,01/10/2017 6:30,006XX W ARMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1812,18,43,7,14,1171803,1913552,2017,02/10/2018 15:50,41.91824531,-87.64420842,"(41.918245307, -87.64420842)"
10811371,JA110639,01/10/2017 13:00,040XX W CERMAK RD,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,1012,10,24,29,04B,1149874,1889076,2017,02/10/2018 15:50,41.85153578,-87.72541439,"(41.851535781, -87.725414393)"
10811372,JA110632,01/03/2017 17:40,004XX S CLINTON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA STATION,FALSE,FALSE,121,1,2,28,11,1172799,1898209,2017,02/10/2018 15:50,41.87612122,-87.64100397,"(41.876121224, -87.641003973)"
10811376,JA109293,01/09/2017 13:00,013XX S LAWNDALE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,TRUE,1011,10,24,29,6,1151923,1893461,2017,02/10/2018 15:50,41.86352869,-87.71777862,"(41.863528686, -87.717778622)"
10811378,JA110498,01/10/2017 10:59,087XX S EMERALD AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,RESIDENCE,TRUE,FALSE,2223,22,21,71,18,1172839,1846826,2017,02/10/2018 15:50,41.73512019,-87.6423738,"(41.735120189, -87.6423738)"
10811381,JA110666,01/08/2017 19:00,011XX S ASHLAND AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1231,12,2,28,7,1165900,1895209,2017,02/10/2018 15:50,41.86803889,-87.66642017,"(41.868038887, -87.666420169)"
10811385,JA110678,01/10/2017 13:43,012XX N MARION CT,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1424,14,1,24,11,1163773,1908523,2017,02/10/2018 15:50,41.90461866,-87.67385314,"(41.904618658, -87.67385314)"
10811386,JA110159,01/09/2017 18:00,011XX W WELLINGTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1933,19,44,6,11,1168008,1920069,2017,02/10/2018 15:50,41.93621113,-87.65796283,"(41.936211129, -87.657962827)"
10811389,JA110690,01/09/2017 22:30,002XX W NORTH AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,1814,18,43,7,6,1174063,1910985,2017,02/10/2018 15:50,41.91115121,-87.63598179,"(41.911151209, -87.63598179)"
10811390,JA110514,01/10/2017 12:08,092XX S CLYDE AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,TRUE,FALSE,413,4,8,48,3,1191790,1844031,2017,02/10/2018 15:50,41.72701197,-87.57303648,"(41.727011968, -87.573036478)"
10811391,JA110697,01/10/2017 8:00,072XX S MICHIGAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,323,3,6,69,14,1178417,1856945,2017,02/10/2018 15:50,41.7627632,-87.62163177,"(41.762763202, -87.62163177)"
10811393,JA110700,01/09/2017 15:00,008XX N MONTICELLO AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1112,11,27,23,6,1151898,1905368,2017,02/10/2018 15:50,41.89620326,-87.71755678,"(41.896203263, -87.717556781)"
10811397,JA110543,01/10/2017 10:45,039XX S TALMAN AVE,2011,NARCOTICS,MANU/DELIVER:BARBITUATES,APARTMENT,TRUE,FALSE,921,9,12,58,18,1159377,1878269,2017,02/10/2018 15:50,41.82169024,-87.69083261,"(41.821690235, -87.690832606)"
10811398,JA110696,01/05/2017 9:00,010XX N LARAMIE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,1531,15,37,25,26,1141506,1906350,2017,02/10/2018 15:50,41.89909631,-87.75570072,"(41.899096313, -87.755700717)"
10811400,JA110704,01/10/2017 12:00,011XX W 51ST ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,933,9,16,61,14,1169382,1870974,2017,02/10/2018 15:50,41.80146082,-87.65434043,"(41.801460819, -87.654340425)"
10811401,JA110594,01/10/2017 13:45,010XX W WILSON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,FALSE,FALSE,1914,19,46,3,26,1168668,1930721,2017,02/10/2018 15:50,41.96542634,-87.65522754,"(41.965426344, -87.655227542)"
10811405,JA110646,01/10/2017 9:30,132XX S BUFFALO AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,433,4,10,55,5,1200091,1817709,2017,02/10/2018 15:50,41.65457668,-87.5435136,"(41.65457668, -87.543513604)"
10811407,JA110660,01/10/2017 13:00,002XX W MONROE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,FALSE,FALSE,122,1,2,32,11,1174585,1899875,2017,02/10/2018 15:50,41.88065311,-87.63439665,"(41.880653112, -87.634396649)"
10811413,JA110502,01/10/2017 11:47,015XX N CLYBOURN AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1822,18,27,8,6,1171167,1910123,2017,02/10/2018 15:50,41.90884995,-87.64664598,"(41.908849952, -87.646645976)"
10811414,JA110624,01/10/2017 13:53,044XX W VAN BUREN ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,1131,11,24,26,04B,1146829,1897653,2017,02/10/2018 15:50,41.87513075,-87.73637151,"(41.875130749, -87.736371509)"
10811415,JA110671,01/10/2017 13:05,008XX W NORTH AVE,860,THEFT,RETAIL THEFT,OTHER,FALSE,FALSE,1822,18,43,8,6,1170635,1910871,2017,02/10/2018 15:50,41.91091418,-87.64857834,"(41.910914175, -87.648578343)"
10811424,JA110663,01/10/2017 13:30,006XX E 131ST ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,533,5,9,54,08A,1182901,1818558,2017,02/10/2018 15:50,41.65732147,-87.60638511,"(41.657321469, -87.606385112)"
10811425,JA110712,01/08/2017 14:00,020XX N DAMEN AVE,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,1432,14,32,22,6,1162696,1913738,2017,02/10/2018 15:50,41.91895164,-87.67766282,"(41.918951639, -87.677662824)"
10811426,JA110701,01/10/2017 14:51,057XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,715,7,15,67,08B,1166650,1866751,2017,02/10/2018 15:50,41.78993119,-87.66448019,"(41.789931189, -87.664480186)"
10811432,JA110623,01/10/2017 13:55,015XX E 53RD ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,234,2,4,41,6,1187590,1870433,2017,02/10/2018 15:50,41.79956218,-87.58758291,"(41.799562177, -87.587582914)"
10811436,JA110683,01/10/2017 7:10,019XX S CENTRAL PARK AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1024,10,24,29,6,1152688,1889938,2017,02/10/2018 15:50,41.85384608,-87.71506347,"(41.85384608, -87.715063469)"
10811456,JA109953,01/08/2017 15:06,051XX S UNIVERSITY AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,233,2,4,41,08A,1184678,1871265,2017,02/10/2018 15:50,41.80191408,-87.59823574,"(41.80191408, -87.59823574)"
10811481,JA110119,01/10/2017 4:55,082XX S SCOTTSDALE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,834,8,13,70,08B,1147541,1849663,2017,02/10/2018 15:50,41.74342539,-87.73498406,"(41.743425394, -87.734984061)"
10811525,JA110807,01/10/2017 15:00,054XX W QUINCY ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,1522,15,29,25,26,1140249,1898470,2017,02/10/2018 15:50,41.87749574,-87.76051092,"(41.877495744, -87.760510915)"
10811530,JA110767,01/10/2017 15:10,044XX W WASHINGTON BLVD,2027,NARCOTICS,POSS: CRACK,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1113,11,28,26,18,1146782,1900126,2017,02/10/2018 15:50,41.88191785,-87.73648093,"(41.881917848, -87.736480932)"
10811544,JA110885,01/06/2017 7:20,025XX W CULLOM AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,FALSE,FALSE,1911,19,47,5,14,1158455,1928470,2017,02/10/2018 15:50,41.95946513,-87.69284032,"(41.959465134, -87.692840319)"
10811549,JA110880,01/06/2017 14:00,026XX W 12TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,1023,10,28,29,26,1158779,1894289,2017,02/10/2018 15:50,41.86566315,-87.69258794,"(41.865663151, -87.692587939)"
10811551,JA109237,01/09/2017 10:30,007XX S WABASH AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,123,1,2,32,6,1176908,1896948,2017,02/10/2018 15:50,41.87256902,-87.62595547,"(41.872569023, -87.625955471)"
10811558,JA110834,01/01/2017 20:00,107XX S LA SALLE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,513,5,34,49,11,1177178,1833706,2017,02/10/2018 15:50,41.69902045,-87.62687197,"(41.69902045, -87.626871965)"
10811568,JA110795,01/10/2017 15:44,063XX S DAMEN AVE,560,ASSAULT,SIMPLE,GAS STATION,FALSE,FALSE,726,7,15,67,08A,1164113,1862700,2017,02/10/2018 15:50,41.77886851,-87.67389658,"(41.778868505, -87.673896581)"
10811573,JA110816,01/10/2017 15:30,001XX W JACKSON BLVD,560,ASSAULT,SIMPLE,RESTAURANT,FALSE,FALSE,122,1,2,32,08A,1175454,1898968,2017,02/10/2018 15:50,41.87814479,-87.63123304,"(41.878144785, -87.631233035)"
